ID,jobb_etter_6mnd,utdanning,sykdom_siste_aar,arbsoker_siste_aar,forerkort,arbeid_siste_2mnd,alder,fylke,yrke,kjonn
6100,Ja,VGS fullf,Nei,Nei,Nei,Nei,29,Ukjent,Høgskoleyrker,Mann
6134,Ja,VGS fullf,Nei,Nei,Ja,Nei,40,Ukjent,"Salg, service og omsorg",Mann
6185,Ja,VGS fullf,Nei,Nei,Ja,Ja,37,Ukjent,Renholdere og hjelpepleiere,Kvinne
6233,Nei,,Ja,Nei,Ja,Nei,43,Ukjent,Håndverkere,Kvinne
6272,Ja,VGS fullf,Nei,Ja,Ja,Ja,39,Ukjent,Annet,Mann
6350,Nei,Grunnskole,Nei,Nei,Nei,Ja,46,Ukjent,Annet,Mann
6376,Nei,Høyere utd u4 år,Nei,Nei,Nei,Nei,49,Ukjent,Høgskoleyrker,Kvinne
6389,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,50,Ukjent,Høgskoleyrker,Mann
6413,Nei,,Nei,Nei,Nei,Nei,18,Ukjent,Renholdere og hjelpepleiere,Kvinne
6458,Ja,,Nei,Nei,Nei,Ja,33,Ukjent,Høgskoleyrker,Kvinne
6486,Ja,VGS ikke fullf,Nei,Nei,Nei,Ja,32,Ukjent,Håndverkere,Mann
6562,Nei,Høyere utd u4 år,Nei,Ja,Nei,Ja,33,Ukjent,Høgskoleyrker,Mann
6648,Ja,VGS fullf,Nei,Nei,Nei,Nei,34,Ukjent,"Salg, service og omsorg",Mann
6649,Ja,Grunnskole,Nei,Ja,Ja,Ja,40,Ukjent,Håndverkere,Kvinne
6664,Nei,VGS fullf,Nei,Nei,Ja,Ja,40,Ukjent,Akademiske yrker,Mann
6682,Nei,,Nei,Nei,Nei,Ja,47,Ukjent,Ledere,Mann
6708,Nei,Høyere utd u4 år,Nei,Nei,Nei,Ja,34,Ukjent,Akademiske yrker,Mann
6746,Nei,Høyere utd u4 år,Ja,Ja,Ja,Nei,34,Ukjent,Akademiske yrker,Kvinne
6758,Ja,,Ja,Nei,Nei,Ja,41,Ukjent,"Salg, service og omsorg",Mann
6848,Nei,VGS ikke fullf,Nei,Ja,Nei,Ja,33,Ukjent,Høgskoleyrker,Mann
6893,Nei,Høyere utd u4 år,Ja,Ja,Nei,Nei,23,Ukjent,Kontoryrker,Mann
6991,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,32,Ukjent,"Salg, service og omsorg",Kvinne
7002,Nei,VGS fullf,Nei,Ja,Nei,Nei,31,Ukjent,Ledere,Mann
7060,Nei,,Nei,Nei,Nei,Nei,44,Ukjent,Håndverkere,Kvinne
7111,Nei,Høyere utd 4 år+,Ja,Ja,Nei,Nei,38,Ukjent,Håndverkere,Mann
7122,Ja,VGS ikke fullf,Ja,Nei,Nei,Nei,29,Ukjent,"Salg, service og omsorg",Mann
7240,Nei,Høyere utd 4 år+,Nei,Ja,Nei,Nei,34,Ukjent,Renholdere og hjelpepleiere,Kvinne
7449,Nei,VGS fullf,Nei,Ja,Nei,Nei,31,Ukjent,Akademiske yrker,Kvinne
7476,Ja,VGS fullf,Nei,Ja,Ja,Nei,32,Ukjent,Håndverkere,Mann
7798,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,38,Ukjent,Kontoryrker,Kvinne
7799,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,36,Ukjent,"Salg, service og omsorg",Kvinne
7824,Nei,Høyere utd u4 år,Nei,Nei,Nei,Nei,33,Ukjent,Ledere,Mann
7890,Ja,VGS ikke fullf,Nei,Nei,Nei,Ja,39,Ukjent,"Salg, service og omsorg",Mann
7897,Nei,Grunnskole,Nei,Nei,Nei,Ja,24,Ukjent,Annet,Mann
7910,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,37,Ukjent,Akademiske yrker,Kvinne
7941,Nei,,Ja,Nei,Nei,Nei,55,Ukjent,"Salg, service og omsorg",Mann
7955,Nei,VGS fullf,Nei,Nei,Nei,Nei,46,Ukjent,Maskin og transportarbeidere,Kvinne
8028,Nei,VGS fullf,Ja,Nei,Nei,Ja,52,Ukjent,"Salg, service og omsorg",Mann
8045,Nei,Grunnskole,Nei,Nei,Nei,Nei,35,Ukjent,Annet,Mann
8068,Nei,VGS fullf,Nei,Ja,Nei,Nei,44,Ukjent,"Salg, service og omsorg",Mann
8144,Nei,VGS fullf,Ja,Nei,Nei,Nei,55,Ukjent,Maskin og transportarbeidere,Kvinne
8305,Nei,Høyere utd 4 år+,Ja,Nei,Nei,Nei,31,Ukjent,"Salg, service og omsorg",Kvinne
8324,Ja,VGS fullf,Nei,Nei,Nei,Ja,38,Ukjent,Kontoryrker,Mann
8363,Nei,Grunnskole,Nei,Nei,Nei,Nei,29,Ukjent,"Salg, service og omsorg",Kvinne
8421,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,37,Ukjent,"Salg, service og omsorg",Kvinne
8453,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,56,Ukjent,"Salg, service og omsorg",Mann
8576,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,37,Ukjent,"Salg, service og omsorg",Kvinne
8578,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,24,Ukjent,Annet,Kvinne
8647,Nei,VGS fullf,Nei,Ja,Nei,Nei,25,Ukjent,Akademiske yrker,Mann
8697,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,40,Ukjent,Maskin og transportarbeidere,Kvinne
8702,Ja,VGS fullf,Nei,Nei,Nei,Ja,34,Ukjent,Renholdere og hjelpepleiere,Kvinne
13,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,49,Troms,Håndverkere,Mann
58,Nei,VGS fullf,Ja,Nei,Nei,Nei,31,Troms,"Salg, service og omsorg",Kvinne
62,Nei,VGS ikke fullf,Ja,Ja,Nei,Nei,46,Troms,Kontoryrker,Mann
85,Nei,VGS ikke fullf,Nei,Ja,Ja,Nei,39,Troms,Akademiske yrker,Mann
117,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,22,Troms,"Salg, service og omsorg",Mann
137,Ja,VGS fullf,Ja,Nei,Nei,Nei,36,Troms,Kontoryrker,Mann
145,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,47,Troms,Håndverkere,Kvinne
183,Nei,,Nei,Ja,Ja,Nei,36,Troms,Håndverkere,Mann
307,Nei,VGS fullf,Ja,Ja,Ja,Ja,51,Troms,Kontoryrker,Kvinne
404,Nei,VGS ikke fullf,Ja,Ja,Ja,Nei,38,Troms,"Salg, service og omsorg",Mann
406,Nei,Grunnskole,Ja,Ja,Ja,Nei,57,Troms,Håndverkere,Kvinne
410,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,47,Troms,Maskin og transportarbeidere,Kvinne
417,Nei,,Ja,Ja,Nei,Nei,39,Troms,Kontoryrker,Mann
500,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Nei,56,Troms,"Salg, service og omsorg",M
542,Nei,VGS ikke fullf,Ja,Nei,Nei,Ja,34,Troms,Kontoryrker,Mann
562,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,48,Troms,Annet,Kvinne
653,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,26,Troms,Annet,Mann
671,Ja,VGS ikke fullf,Ja,Nei,Ja,Ja,26,Troms,Maskin og transportarbeidere,Kvinne
703,Ja,Grunnskole,Ja,Nei,Ja,Ja,29,Troms,Akademiske yrker,Mann
875,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,44,Troms,Annet,Kvinne
911,Ja,VGS fullf,Nei,Nei,Ja,Ja,23,Troms,"Salg, service og omsorg",Kvinne
936,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Nei,23,Troms,"Salg, service og omsorg",Mann
969,Nei,,Ja,Nei,Nei,Nei,40,Troms,Renholdere og hjelpepleiere,Mann
1009,Ja,VGS ikke fullf,Ja,Nei,Ja,Nei,41,Troms,Akademiske yrker,Mann
1015,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Nei,20,Troms,Håndverkere,Mann
1022,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Nei,47,Troms,Maskin og transportarbeidere,Kvinne
1040,Nei,VGS fullf,Ja,Nei,Ja,Nei,38,Troms,"Bønder, fiskere, mv",Mann
1097,Nei,VGS ikke fullf,Ja,Nei,Nei,Ja,42,Troms,"Bønder, fiskere, mv",Kvinne
1101,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Nei,42,Troms,"Salg, service og omsorg",Mann
1117,Ja,VGS fullf,Ja,Nei,Ja,Nei,28,Troms,Annet,Kvinne
1178,Nei,VGS ikke fullf,Ja,Ja,Ja,Nei,42,Troms,"Salg, service og omsorg",Kvinne
1232,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,28,Troms,Høgskoleyrker,Mann
1255,Nei,VGS ikke fullf,Ja,Nei,Nei,Ja,36,Troms,"Bønder, fiskere, mv",Kvinne
1353,Ja,VGS fullf,Ja,Nei,Ja,Ja,43,Troms,Annet,Kvinne
1412,Nei,VGS ikke fullf,Ja,Nei,Ja,Ja,45,Troms,"Salg, service og omsorg",Mann
1423,Ja,VGS fullf,Nei,Nei,Ja,Ja,43,Troms,Håndverkere,Mann
1484,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,47,Troms,Annet,Mann
1513,Nei,VGS fullf,Ja,Nei,Nei,Ja,28,Troms,Håndverkere,Mann
1546,Nei,Grunnskole,Ja,Nei,Nei,Nei,39,Troms,Høgskoleyrker,Kvinne
1572,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,30,Troms,Annet,Kvinne
1604,Nei,VGS fullf,Ja,Nei,Nei,Nei,31,Troms,Ledere,Mann
1626,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,30,Troms,Annet,Mann
1655,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,31,Troms,Kontoryrker,Mann
1774,Nei,VGS fullf,Ja,Nei,Ja,Ja,37,Troms,Håndverkere,Kvinne
1800,Nei,Grunnskole,Ja,Nei,Nei,Nei,39,Troms,Håndverkere,Kvinne
1826,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,56,Troms,"Salg, service og omsorg",Mann
1837,Ja,,Nei,Nei,Ja,Ja,30,Troms,Håndverkere,Mann
1851,Nei,VGS ikke fullf,Ja,Ja,Nei,Ja,37,Troms,Høgskoleyrker,Mann
1896,Ja,Høyere utd 4 år+,Nei,Nei,Ja,Nei,58,Troms,Annet,Mann
1900,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,30,Troms,Maskin og transportarbeidere,Mann
1905,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,27,Troms,Annet,Mann
1925,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,55,Troms,"Salg, service og omsorg",Kvinne
1997,Nei,Høyere utd u4 år,Nei,Ja,Ja,Ja,35,Troms,Renholdere og hjelpepleiere,Kvinne
2033,Ja,,Nei,Nei,Ja,Nei,30,Troms,Ledere,Mann
2061,Ja,,Nei,Nei,Ja,Nei,41,Troms,Akademiske yrker,Mann
2110,Ja,Høyere utd 4 år+,Nei,Ja,Ja,Ja,47,Troms,"Salg, service og omsorg",Kvinne
2151,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,33,Troms,Høgskoleyrker,Mann
2167,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,28,Troms,Kontoryrker,Kvinne
2248,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,40,Troms,Akademiske yrker,Kvinne
2277,Ja,VGS ikke fullf,Ja,Nei,Ja,Ja,40,Troms,Høgskoleyrker,Kvinne
2287,Ja,,Nei,Nei,Ja,Nei,40,Troms,"Salg, service og omsorg",Mann
2295,Nei,Høyere utd u4 år,Ja,Ja,Nei,Nei,28,Troms,"Salg, service og omsorg",Mann
2303,Ja,VGS fullf,Nei,Nei,Nei,Ja,33,Troms,"Salg, service og omsorg",Mann
2315,Nei,VGS fullf,Nei,Nei,Nei,Nei,56,Troms,Renholdere og hjelpepleiere,Mann
2323,Ja,Grunnskole,Ja,Nei,Ja,Ja,24,Troms,Annet,Mann
2345,Ja,VGS ikke fullf,Nei,Nei,Ja,Nei,25,Troms,"Salg, service og omsorg",Mann
2366,Nei,VGS ikke fullf,Nei,Nei,Nei,Ja,48,Troms,Akademiske yrker,Kvinne
2396,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,30,Troms,Høgskoleyrker,Mann
2415,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,33,Troms,"Salg, service og omsorg",Mann
2463,Nei,Høyere utd u4 år,Nei,Ja,Nei,Nei,34,Troms,Håndverkere,Mann
2548,Nei,,Nei,Nei,Nei,Nei,46,Troms,Maskin og transportarbeidere,Kvinne
2620,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,33,Troms,Annet,Mann
2659,Ja,,Nei,Nei,Nei,Nei,40,Troms,"Salg, service og omsorg",Mann
2708,Nei,Grunnskole,Nei,Nei,Ja,Nei,42,Troms,Renholdere og hjelpepleiere,Mann
2763,Nei,VGS fullf,Nei,Nei,Nei,Nei,31,Troms,"Salg, service og omsorg",Mann
2823,Ja,VGS fullf,Nei,Ja,Nei,Ja,56,Troms,Høgskoleyrker,Mann
2829,Nei,Høyere utd 4 år+,Ja,Ja,Nei,Nei,34,Troms,Maskin og transportarbeidere,Mann
2908,Ja,,Nei,Nei,Nei,Ja,26,Troms,Ledere,Mann
2921,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,28,Troms,Akademiske yrker,Mann
2991,Ja,Grunnskole,Ja,Nei,Ja,Ja,31,Troms,Håndverkere,Mann
3029,Ja,VGS fullf,Nei,Nei,Nei,Ja,36,Troms,Akademiske yrker,Mann
3033,Ja,Høyere utd u4 år,Ja,Nei,Nei,Ja,35,Troms,Ledere,Mann
3062,Ja,Høyere utd u4 år,Nei,Nei,Nei,Nei,27,Troms,Håndverkere,Mann
3071,Ja,VGS ikke fullf,Nei,Nei,Nei,Nei,38,Troms,Renholdere og hjelpepleiere,Kvinne
3081,Nei,VGS fullf,Nei,Ja,Nei,Nei,31,Troms,Annet,Mann
3103,Nei,VGS ikke fullf,Ja,Ja,Nei,Nei,36,Troms,Ledere,Kvinne
3105,Nei,Grunnskole,Ja,Ja,Nei,Nei,36,Troms,Annet,Mann
3116,Nei,Grunnskole,Nei,Nei,Nei,Nei,31,Troms,"Salg, service og omsorg",Kvinne
3144,Ja,VGS fullf,Nei,Nei,Nei,Nei,21,Troms,Kontoryrker,Mann
3155,Ja,,Nei,Nei,Ja,Ja,50,Troms,Annet,Mann
3262,Nei,VGS ikke fullf,Nei,Nei,Nei,Ja,42,Troms,Annet,Mann
3264,Ja,,Nei,Nei,Nei,Ja,22,Troms,"Bønder, fiskere, mv",Mann
3303,Ja,,Nei,Nei,Ja,Ja,27,Troms,"Salg, service og omsorg",Kvinne
3314,Ja,Høyere utd u4 år,Nei,Ja,Ja,Nei,29,Troms,Maskin og transportarbeidere,Mann
3331,Nei,,Nei,Nei,Nei,Nei,30,Troms,"Salg, service og omsorg",Mann
3388,Nei,Høyere utd 4 år+,Nei,Ja,Nei,Nei,36,Troms,"Salg, service og omsorg",Kvinne
3463,Nei,VGS fullf,Nei,Nei,Ja,Nei,32,Troms,Akademiske yrker,Mann
3516,Ja,Høyere utd u4 år,Nei,Ja,Nei,Ja,48,Troms,Akademiske yrker,Kvinne
3556,Ja,VGS ikke fullf,Nei,Nei,Nei,Ja,19,Troms,Ledere,Mann
3585,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,42,Troms,Håndverkere,Kvinne
3588,Nei,Grunnskole,Nei,Ja,Ja,Nei,59,Troms,Håndverkere,Kvinne
3605,Ja,Høyere utd u4 år,Nei,Nei,Ja,Nei,27,Troms,Ledere,Mann
3622,Nei,VGS fullf,Nei,Nei,Ja,Ja,55,Troms,"Salg, service og omsorg",Kvinne
3629,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,35,Troms,Ledere,Kvinne
3641,Nei,VGS fullf,Nei,Nei,Nei,Ja,50,Troms,Renholdere og hjelpepleiere,Kvinne
3652,Ja,VGS ikke fullf,Nei,Nei,Ja,Nei,23,Troms,Høgskoleyrker,Mann
3669,Ja,VGS ikke fullf,Ja,Nei,Ja,Ja,36,Troms,"Salg, service og omsorg",Mann
3759,Ja,Høyere utd u4 år,Ja,Nei,Ja,Ja,34,Troms,Kontoryrker,Kvinne
3843,Nei,,Nei,Nei,Nei,Nei,26,Troms,Maskin og transportarbeidere,Mann
3895,Ja,VGS fullf,Nei,Nei,Nei,Ja,37,Troms,Høgskoleyrker,Kvinne
3961,Nei,Høyere utd u4 år,Nei,Ja,Nei,Nei,31,Troms,Renholdere og hjelpepleiere,Mann
3996,Nei,VGS fullf,Nei,Nei,Nei,Nei,44,Troms,Akademiske yrker,Mann
4010,Nei,Grunnskole,Nei,Nei,Ja,Ja,37,Troms,Renholdere og hjelpepleiere,Mann
4033,Nei,Grunnskole,Nei,Nei,Nei,Nei,45,Troms,Ledere,Kvinne
4041,Ja,VGS fullf,Nei,Nei,Nei,Ja,38,Troms,"Salg, service og omsorg",Kvinne
4049,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,32,Troms,Håndverkere,Mann
4078,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,35,Troms,"Salg, service og omsorg",Mann
4088,Ja,VGS fullf,Nei,Nei,Ja,Ja,31,Troms,Annet,Mann
4114,Ja,Høyere utd u4 år,Nei,Ja,Nei,Nei,30,Troms,Høgskoleyrker,Mann
4136,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,40,Troms,Kontoryrker,Kvinne
4197,Ja,VGS fullf,Nei,Nei,Ja,Ja,19,Troms,Kontoryrker,Kvinne
4239,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,32,Troms,Maskin og transportarbeidere,Mann
4241,Ja,Høyere utd u4 år,Nei,Nei,Ja,Ja,35,Troms,Akademiske yrker,Kvinne
4248,Nei,Grunnskole,Nei,Nei,Ja,Nei,39,Troms,Annet,Kvinne
4251,Nei,Grunnskole,Ja,Nei,Ja,Ja,36,Troms,Annet,Kvinne
4328,Ja,VGS fullf,Ja,Nei,Nei,Nei,31,Troms,Kontoryrker,Mann
4333,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,36,Troms,Håndverkere,Kvinne
4337,Nei,VGS fullf,Nei,Nei,Ja,Nei,31,Troms,Håndverkere,Mann
4409,Nei,VGS fullf,Nei,Nei,Ja,Nei,36,Troms,"Salg, service og omsorg",Kvinne
4521,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,26,Troms,Håndverkere,Mann
4708,Nei,Grunnskole,Nei,Nei,Nei,Nei,29,Troms,Håndverkere,Kvinne
4713,Nei,VGS fullf,Nei,Nei,Ja,Nei,51,Troms,"Salg, service og omsorg",Mann
4736,Nei,VGS fullf,Nei,Nei,Nei,Nei,40,Troms,Høgskoleyrker,Mann
4754,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,48,Troms,Håndverkere,Kvinne
4800,Ja,VGS fullf,Nei,Nei,Nei,Ja,26,Troms,Håndverkere,Kvinne
4823,Nei,Grunnskole,Nei,Nei,Nei,Nei,50,Troms,Renholdere og hjelpepleiere,Kvinne
4847,Nei,VGS fullf,Ja,Nei,Nei,Ja,32,Troms,Annet,Mann
4891,Ja,Høyere utd u4 år,Nei,Nei,Nei,Ja,46,Troms,Annet,Kvinne
4900,Ja,VGS fullf,Nei,Ja,Nei,Ja,31,Troms,Akademiske yrker,Mann
4903,Nei,VGS fullf,Ja,Nei,Ja,Ja,30,Troms,Kontoryrker,Kvinne
4906,Nei,VGS fullf,Nei,Nei,Ja,Ja,41,Troms,Høgskoleyrker,Kvinne
4949,Nei,Grunnskole,Ja,Nei,Ja,Nei,32,Troms,Ledere,Mann
4960,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,40,Troms,Akademiske yrker,Mann
5020,Nei,,Ja,Ja,Ja,Nei,49,Troms,Høgskoleyrker,Kvinne
5089,Ja,VGS fullf,Nei,Nei,Ja,Ja,39,Troms,Annet,Kvinne
5107,Nei,VGS ikke fullf,Nei,Nei,Ja,Ja,51,Troms,"Salg, service og omsorg",Mann
5121,Nei,VGS ikke fullf,Ja,Nei,Nei,Nei,46,Troms,Akademiske yrker,Mann
5123,Ja,Høyere utd u4 år,Nei,Ja,Ja,Ja,41,Troms,"Salg, service og omsorg",Mann
5167,Ja,Høyere utd u4 år,Nei,Nei,Nei,Nei,29,Troms,"Salg, service og omsorg",Kvinne
5305,Nei,,Nei,Ja,Ja,Nei,26,Troms,Maskin og transportarbeidere,Kvinne
5351,Nei,VGS ikke fullf,Nei,Ja,Nei,Ja,35,Troms,Håndverkere,Mann
5393,Ja,VGS fullf,Nei,Nei,Nei,Ja,25,Troms,"Bønder, fiskere, mv",Mann
5430,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,35,Troms,Annet,Kvinne
5448,Nei,VGS fullf,Nei,Ja,Nei,Nei,40,Troms,Akademiske yrker,Kvinne
5464,Nei,Grunnskole,Nei,Nei,Nei,Nei,45,Troms,"Salg, service og omsorg",Mann
5508,Ja,VGS ikke fullf,Ja,Nei,Ja,Ja,42,Troms,Håndverkere,Mann
5527,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,20,Troms,Annet,Mann
5554,Nei,Høyere utd u4 år,Nei,Ja,Ja,Ja,45,Troms,"Salg, service og omsorg",Mann
5645,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,45,Troms,Annet,Mann
5687,Ja,,Ja,Nei,Nei,Nei,20,Troms,Håndverkere,Mann
5706,Ja,VGS ikke fullf,Ja,Nei,Nei,Ja,29,Troms,"Salg, service og omsorg",Kvinne
5710,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,38,Troms,Maskin og transportarbeidere,Mann
5825,Nei,Høyere utd u4 år,Nei,Ja,Nei,Nei,47,Troms,"Salg, service og omsorg",Mann
5832,Nei,,Nei,Nei,Nei,Nei,24,Troms,Maskin og transportarbeidere,Mann
5839,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,40,Troms,Akademiske yrker,Kvinne
5852,Nei,,Ja,Nei,Ja,Ja,54,Troms,Annet,Mann
5889,Nei,Høyere utd u4 år,Nei,Nei,Ja,Nei,36,Troms,Kontoryrker,Mann
5911,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,32,Troms,Kontoryrker,Kvinne
5970,Nei,VGS fullf,Nei,Nei,Nei,Ja,36,Troms,Håndverkere,Mann
6007,Ja,Høyere utd u4 år,Nei,Nei,Nei,Nei,29,Troms,Håndverkere,Kvinne
6011,Ja,VGS fullf,Nei,Nei,Nei,Ja,36,Troms,"Salg, service og omsorg",Mann
6040,Nei,VGS fullf,Nei,Nei,Ja,Nei,48,Troms,Ledere,Mann
6044,Ja,Høyere utd u4 år,Nei,Ja,Nei,Ja,31,Troms,Akademiske yrker,Kvinne
6045,Nei,VGS fullf,Ja,Nei,Ja,Nei,59,Troms,Høgskoleyrker,Kvinne
6081,Ja,VGS fullf,Nei,Nei,Ja,Nei,28,Troms,Ledere,Mann
6083,Nei,VGS ikke fullf,Nei,Ja,Nei,Nei,39,Troms,Håndverkere,Mann
6088,Nei,VGS fullf,Nei,Nei,Ja,Nei,51,Troms,"Salg, service og omsorg",Mann
6095,Ja,VGS fullf,Ja,Ja,Nei,Ja,52,Troms,"Salg, service og omsorg",Mann
6099,Nei,Høyere utd u4 år,Nei,Nei,Nei,Ja,31,Troms,Akademiske yrker,Mann
6110,Nei,Grunnskole,Nei,Nei,Nei,Nei,53,Troms,Renholdere og hjelpepleiere,Kvinne
6112,Nei,VGS ikke fullf,Nei,Nei,Nei,Ja,45,Troms,Annet,Mann
6143,Ja,Grunnskole,Nei,Ja,Nei,Ja,41,Troms,Akademiske yrker,Mann
6144,Nei,,Nei,Nei,Nei,Ja,50,Troms,"Salg, service og omsorg",Kvinne
6165,Nei,VGS fullf,Nei,Ja,Ja,Nei,36,Troms,Renholdere og hjelpepleiere,Mann
6209,Ja,VGS fullf,Ja,Nei,Ja,Ja,30,Troms,Renholdere og hjelpepleiere,Mann
6222,Nei,Høyere utd 4 år+,Nei,Ja,Ja,Nei,34,Troms,Renholdere og hjelpepleiere,Mann
6228,Nei,VGS ikke fullf,Ja,Nei,Ja,Nei,34,Troms,Akademiske yrker,Mann
6283,Nei,VGS fullf,Nei,Ja,Ja,Nei,30,Troms,"Salg, service og omsorg",Mann
6299,Nei,Grunnskole,Ja,Nei,Nei,Nei,52,Troms,Ledere,Mann
6374,Nei,Høyere utd u4 år,Nei,Nei,Ja,Nei,42,Troms,Maskin og transportarbeidere,Mann
6546,Nei,VGS fullf,Nei,Nei,Nei,Ja,56,Troms,Håndverkere,Mann
6548,Nei,,Nei,Nei,Nei,Ja,48,Troms,Akademiske yrker,Kvinne
6574,Nei,VGS ikke fullf,Ja,Ja,Nei,Nei,51,Troms,Høgskoleyrker,Mann
6600,Nei,VGS ikke fullf,Nei,Nei,Ja,Nei,45,Troms,"Salg, service og omsorg",Mann
6634,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,35,Troms,Håndverkere,Kvinne
6635,Nei,VGS fullf,Nei,Nei,Nei,Nei,43,Troms,Høgskoleyrker,Kvinne
6647,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,47,Troms,Renholdere og hjelpepleiere,Mann
6651,Nei,Høyere utd u4 år,Nei,Nei,Nei,Ja,53,Troms,"Salg, service og omsorg",Mann
6709,Nei,VGS ikke fullf,Nei,Ja,Ja,Nei,45,Troms,Renholdere og hjelpepleiere,Mann
6772,Nei,,Nei,Nei,Ja,Nei,36,Troms,Maskin og transportarbeidere,Mann
6778,Ja,Høyere utd 4 år+,Nei,Ja,Ja,Nei,31,Troms,Kontoryrker,Mann
6801,Nei,,Nei,Nei,Nei,Ja,48,Troms,Håndverkere,Kvinne
6880,Nei,VGS ikke fullf,Nei,Nei,Nei,Nei,54,Troms,Høgskoleyrker,Kvinne
6888,Ja,Høyere utd u4 år,Nei,Ja,Nei,Ja,31,Troms,"Salg, service og omsorg",Kvinne
6925,Nei,VGS fullf,Ja,Nei,Nei,Nei,27,Troms,Håndverkere,Mann
6943,Nei,VGS fullf,Nei,Nei,Nei,Ja,51,Troms,Kontoryrker,Mann
7053,Nei,VGS fullf,Ja,Nei,Nei,Nei,41,Troms,Renholdere og hjelpepleiere,Kvinne
7063,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,32,Troms,Håndverkere,Kvinne
7083,Ja,Grunnskole,Ja,Nei,Ja,Ja,19,Troms,Ledere,Kvinne
7104,Nei,,Nei,Nei,Nei,Nei,31,Troms,Maskin og transportarbeidere,Mann
7134,Ja,VGS ikke fullf,Nei,Nei,Nei,Ja,34,Troms,Høgskoleyrker,Kvinne
7213,Nei,VGS fullf,Nei,Nei,Nei,Ja,41,Troms,"Salg, service og omsorg",Kvinne
7285,Nei,Grunnskole,Ja,Nei,Nei,Ja,35,Troms,Renholdere og hjelpepleiere,Mann
7313,Nei,Grunnskole,Nei,Ja,Nei,Nei,19,Troms,Akademiske yrker,Kvinne
7322,Nei,,Nei,Nei,Nei,Nei,27,Troms,Ledere,Kvinne
7324,Nei,VGS fullf,Nei,Nei,Nei,Nei,41,Troms,Høgskoleyrker,Kvinne
7326,Nei,Grunnskole,Ja,Nei,Nei,Nei,22,Troms,Kontoryrker,Mann
7354,Nei,VGS fullf,Nei,Nei,Nei,Nei,40,Troms,Annet,Mann
7392,Ja,VGS ikke fullf,Nei,Nei,Ja,Ja,31,Troms,Håndverkere,Kvinne
